                      name                       |                      name                       |                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 Bubba Gump Shrimp Co Restaurantg                | Bubba Gump Shrimp Co Restaurant                 | {ant,aur,b#,bba,bub,bub!,co,est,g#,gum,gum!,hri,imp,ntg,r#,ran,res,res!,rim,s#,shr,shr!,sta,tau,ubb,ump,ura}                                                  | {ant,aur,b#,bba,bub,bub!,co,est,g#,gum,gum!,hri,imp,r#,ran,res,res!,rim,s#,shr,shr!,sta,tau,ubb,ump,ura}                                                  |   0.962963
 Bubba Gumnp Shrimp Co.                          | Bubba Gup Shrimp Co.,                           | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,mnp,rim,s#,shr,shr!,ubb,umn}                                                                                          | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |   0.764706
 Bubba Gump Shrimjp Co.                          | Bubba Gup Shrimp Co.,                           | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imj,mjp,rim,s#,shr,shr!,ubb,ump}                                                                                          | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |   0.705882
 Bubba Gump Shrimp Co.                           | Bubba Gup Shrimp Co.,                           | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |     0.8125
 Bubba Gump Shrimp Co.                           | Bubba Gup Shrimp Co.,                           | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |     0.8125
 Bubba Gump Shrimjp Co.                          | Bubgba Gump Shrinp Co.                          | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imj,mjp,rim,s#,shr,shr!,ubb,ump}                                                                                          | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 Bubba Gump Shrimp Co.                           | Bubgba Gump Shrinp Co.                          | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 Bubba Gump Shrimp Co.                           | Bubgba Gump Shrinp Co.                          | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 Buca di Beopo - Downtow Indianapolis            | Buca di Bepo - Downtown Indianpolis             | {ana,apo,b#,beo,beo!,buc,buc!,d#,di,dia,dow,dow!,eop,i#,ian,ind,ind!,lis,nap,ndi,nto,oli,opo,own,pol,tow,uca,wnt}                                             | {anp,b#,bep,bep!,buc,buc!,d#,di,dia,dow,dow!,epo,i#,ian,ind,ind!,lis,ndi,npo,nto,oli,own,pol,tow,uca,wnt}                                                 |       0.75
 Buca di Bdppo - Cincinnati - Rooiwood Commons   | Buca di Beppo - Cincinnati - Rookwood Commons   | {ati,b#,bdp,bdp!,buc,buc!,c#,cin,cin!,com,com!,di,dpp,inc,inn,iwo,mmo,mon,nat,nci,nna,oiw,omm,ons,ood,ooi,ppo,r#,roo,roo!,uca,woo}                            | {ati,b#,bep,bep!,buc,buc!,c#,cin,cin!,com,com!,di,epp,inc,inn,kwo,mmo,mon,nat,nci,nna,okw,omm,ons,ood,ook,ppo,r#,roo,roo!,uca,woo}                        |     0.8125
 Buca di Beppo - Columbus                        | Buca di Beppo - Columbus                        | {b#,bep,bep!,buc,buc!,bus,c#,col,col!,di,epp,lum,mbu,olu,ppo,uca,umb}                                                                                         | {b#,bep,bep!,buc,buc!,bus,c#,col,col!,di,epp,lum,mbu,olu,ppo,uca,umb}                                                                                     |          1
 Buca diu Beppo - Pal Alto                       | Buca di Beppo - Palo Alto                       | {a#,alt,alt!,b#,bep,bep!,buc,buc!,d#,diu,diu!,epp,lto,p#,pal,pal!,ppo,uca}                                                                                    | {a#,alo,alt,alt!,b#,bep,bep!,buc,buc!,di,epp,lto,p#,pal,pal!,ppo,uca}                                                                                     |   0.833333
 Buca di Beppo - Minneapolis                     | Buca ei Beppo - Minneapolis                     | {apo,b#,bep,bep!,buc,buc!,di,eap,epp,inn,lis,m#,min,min!,nea,nne,oli,pol,ppo,uca}                                                                             | {apo,b#,bep,bep!,buc,buc!,eap,ei,epp,inn,lis,m#,min,min!,nea,nne,oli,pol,ppo,uca}                                                                         |       0.95
 Buckhorn Exchange Restaurant                    | Buckhor Exchange Restazirantg                   | {ang,ant,aur,b#,buc,buc!,cha,ckh,e#,est,exc,exc!,han,hor,kho,nge,orn,r#,ran,res,res!,sta,tau,uck,ura,xch}                                                     | {ang,ant,azi,b#,buc,buc!,cha,ckh,e#,est,exc,exc!,han,hor,ira,kho,nge,ntg,r#,ran,res,res!,sta,taz,uck,xch,zir}                                             |   0.814815
 Bucvkhorn Gril;l                                | Buckhorn Grill                                  | {b#,buc,buc!,cvk,g#,gri,gri!,hor,kho,l,orn,ril,ucv,vkh}                                                                                                       | {b#,buc,buc!,ckh,g#,gri,gri!,hor,ill,kho,orn,ril,uck}                                                                                                     |   0.714286
 Bucvkl Owen's Crysrl Palace                     | Buck Oweb's Crystal Palace                      | {ace,ala,b#,buc,buc!,c#,cry,cry!,cvk,lac,o#,owe,owe!,p#,pal,pal!,rys,s,srl,ucv,vkl,wen,ysr}                                                                   | {ace,ala,b#,buc,buc!,c#,cry,cry!,lac,o#,owe,owe!,p#,pal,pal!,rys,s,sta,tal,uck,web,yst}                                                                   |    0.73913
 Buck's of Woodsde                               | Buck'sd of Woodsde                              | {b#,buc,buc!,dsd,ods,of,ood,s,sde,uck,w#,woo,woo!}                                                                                                            | {b#,buc,buc!,dsd,ods,of,ood,sd,sde,uck,w#,woo,woo!}                                                                                                       |   0.923077
 Buck's Restautnt                                | Buck's Restaurant                               | {aut,b#,buc,buc!,est,r#,res,res!,s,sta,tau,tnt,uck,utn}                                                                                                       | {ant,aur,b#,buc,buc!,est,r#,ran,res,res!,s,sta,tau,uck,ura}                                                                                               |   0.733333
 Chuy's Restaurant                               | Buck's Restaurant                               | {ant,aur,c#,chu,chu!,est,huy,r#,ran,res,res!,s,sta,tau,ura}                                                                                                   | {ant,aur,b#,buc,buc!,est,r#,ran,res,res!,s,sta,tau,uck,ura}                                                                                               |   0.733333
 Buffalo Bill's Brew Pub                         | Bufalo Bill's Brew Pub                          | {alo,b#,bil,bil!,bre,bre!,buf,buf!,fal,ffa,ill,p#,pub,pub!,rew,s,uff}                                                                                         | {alo,b#,bil,bil!,bre,bre!,buf,buf!,fal,ill,p#,pub,pub!,rew,s,ufa}                                                                                         |   0.882353
 Buffalo Wild Wings Grill & Bsr                  | Buffalo Wild Wings Grill & Bar                  | {alo,b#,bsr,bsr!,buf,buf!,fal,ffa,g#,gri,gri!,ild,ill,ing,ngs,ril,uff,w#,wil,wil!,win,win!}                                                                   | {alo,b#,bar,bar!,buf,buf!,fal,ffa,g#,gri,gri!,ild,ill,ing,ngs,ril,uff,w#,wil,wil!,win,win!}                                                               |   0.909091
 Bylldog Bar & Grill                             | Bulldog Bar & Grill                             | {b#,bar,bar!,byl,byl!,dog,g#,gri,gri!,ill,ldo,lld,ril,yll}                                                                                                    | {b#,bar,bar!,bul,bul!,dog,g#,gri,gri!,ill,ldo,lld,ril,ull}                                                                                                |   0.785714
 Burger King                                     | Bureger King                                    | {b#,bur,bur!,ger,ing,k#,kin,kin!,rge,urg}                                                                                                                     | {b#,bur,bur!,ege,ger,ing,k#,kin,kin!,reg,ure}                                                                                                             |   0.727273
 Burger King                                     | Bureger King                                    | {b#,bur,bur!,ger,ing,k#,kin,kin!,rge,urg}                                                                                                                     | {b#,bur,bur!,ege,ger,ing,k#,kin,kin!,reg,ure}                                                                                                             |   0.727273
 Byrd and Baldwin Bros. Sreakhouse               | Byrd ahd Baldwin Bros. Stedakhouse              | {a#,akh,ald,and,and!,b#,bal,bal!,bro,bro!,byr,byr!,dwi,eak,hou,kho,ldw,ous,rea,ros,s#,sre,sre!,use,win,yrd}                                                   | {a#,ahd,ahd!,akh,ald,b#,bal,bal!,bro,bro!,byr,byr!,dak,dwi,eda,hou,kho,ldw,ous,ros,s#,ste,ste!,ted,use,win,yrd}                                           |   0.740741
 Bouttega Italian Restaurant                     | CA' Biancvga Italian Restaurant                 | {ali,ant,aur,b#,bou,bou!,ega,est,i#,ian,ita,ita!,lia,out,r#,ran,res,res!,sta,tal,tau,teg,tte,ura,utt}                                                         | {ali,anc,ant,aur,b#,bia,bia!,ca,cvg,est,i#,ian,ita,ita!,lia,ncv,r#,ran,res,res!,sta,tal,tau,ura,vga}                                                      |       0.72
 CA' Bianca Italin Restaurant                    | CA' Biancvga Italian Restaurant                 | {ali,anc,ant,aur,b#,bia,bia!,ca,est,i#,ian,ita,ita!,lin,nca,r#,ran,res,res!,sta,tal,tau,ura}                                                                  | {ali,anc,ant,aur,b#,bia,bia!,ca,cvg,est,i#,ian,ita,ita!,lia,ncv,r#,ran,res,res!,sta,tal,tau,ura,vga}                                                      |       0.84
 Cabo Fish Taco                                  | Cabo Fish Tacop                                 | {abo,aco,c#,cab,cab!,f#,fis,fis!,ish,t#,tac,tac!}                                                                                                             | {abo,aco,c#,cab,cab!,cop,f#,fis,fis!,ish,t#,tac,tac!}                                                                                                     |   0.923077
 Cabo Mix-Mex Grill                              | Cabo Mid-Me Grill                               | {abo,c#,cab,cab!,g#,gri,gri!,ill,m#,mex,mex!,mix,mix!,ril}                                                                                                    | {abo,c#,cab,cab!,g#,gri,gri!,ill,m#,me,mid,mid!,ril}                                                                                                      |   0.714286
 Caesars Palace Las Veas Hotel & Casuno          | Caesars Palace Las Vegas Hotel & Casino         | {ace,aes,ala,ars,asu,c#,cae,cae!,cas,cas!,eas,esa,h#,hot,hot!,l#,lac,las,las!,ote,p#,pal,pal!,sar,sun,tel,uno,v#,vea,vea!}                                    | {ace,aes,ala,ars,asi,c#,cae,cae!,cas,cas!,ega,esa,gas,h#,hot,hot!,ino,l#,lac,las,las!,ote,p#,pal,pal!,sar,sin,tel,v#,veg,veg!}                            |   0.774194
 Cafe Du Mlnfe Coffewe Stand                     | Cafe Du Mpnde Coffee Stand                      | {afe,and,c#,caf,caf!,cof,cof!,du,ewe,few,ffe,lnf,m#,mln,mln!,nfe,off,s#,sta,sta!,tan}                                                                         | {afe,and,c#,caf,caf!,cof,cof!,du,fee,ffe,m#,mpn,mpn!,nde,off,pnd,s#,sta,sta!,tan}                                                                         |   0.714286
 Cafe Dupont                                     | Cafe Dupont                                     | {afe,c#,caf,caf!,d#,dup,dup!,ont,pon,upo}                                                                                                                     | {afe,c#,caf,caf!,d#,dup,dup!,ont,pon,upo}                                                                                                                 |          1
 Cafe Fanny                                      | Cafe Fanny                                      | {afe,ann,c#,caf,caf!,f#,fan,fan!,nny}                                                                                                                         | {afe,ann,c#,caf,caf!,f#,fan,fan!,nny}                                                                                                                     |          1
 Cafe Hollandr                                   | Cafe Hollander                                  | {afe,and,c#,caf,caf!,h#,hol,hol!,lan,lla,ndr,oll}                                                                                                             | {afe,and,c#,caf,caf!,der,h#,hol,hol!,lan,lla,nde,oll}                                                                                                     |   0.846154
 Cafe Hon                                        | Cafe Hon                                        | {afe,c#,caf,caf!,h#,hon,hon!}                                                                                                                                 | {afe,c#,caf,caf!,h#,hon,hon!}                                                                                                                             |          1
 Cafe Poca Cosa                                  | Cafe Poca Cosa                                  | {afe,c#,caf,caf!,cos,cos!,oca,osa,p#,poc,poc!}                                                                                                                | {afe,c#,caf,caf!,cos,cos!,oca,osa,p#,poc,poc!}                                                                                                            |          1
 Cafe Tandoor Online Ordering                    | Cafe Tandoor Online Ordering                    | {afe,and,c#,caf,caf!,der,doo,eri,ine,ing,lin,ndo,nli,o#,onl,onl!,oor,ord,ord!,rde,rin,t#,tan,tan!}                                                            | {afe,and,c#,caf,caf!,der,doo,eri,ine,ing,lin,ndo,nli,o#,onl,onl!,oor,ord,ord!,rde,rin,t#,tan,tan!}                                                        |          1
 Caffe Riace                                     | Caffe Riace                                     | {ace,aff,c#,caf,caf!,ffe,iac,r#,ria,ria!}                                                                                                                     | {ace,aff,c#,caf,caf!,ffe,iac,r#,ria,ria!}                                                                                                                 |          1
 Campisi Restaurant                              | Campisi Restaurant                              | {amp,ant,aur,c#,cam,cam!,est,isi,mpi,pis,r#,ran,res,res!,sta,tau,ura}                                                                                         | {amp,ant,aur,c#,cam,cam!,est,isi,mpi,pis,r#,ran,res,res!,sta,tau,ura}                                                                                     |          1
 Camp Washington Chili Inc                       | Camp Washington Chili Inc                       | {amp,ash,c#,cam,cam!,chi,chi!,gto,hil,hin,i#,ili,inc,inc!,ing,ngt,shi,ton,w#,was,was!}                                                                        | {amp,ash,c#,cam,cam!,chi,chi!,gto,hil,hin,i#,ili,inc,inc!,ing,ngt,shi,ton,w#,was,was!}                                                                    |          1
 Candelas Rdstaurant                             | Candelas Restaurant                             | {and,ant,aur,c#,can,can!,del,dst,ela,las,nde,r#,ran,rds,rds!,sta,tau,ura}                                                                                     | {and,ant,aur,c#,can,can!,del,ela,est,las,nde,r#,ran,res,res!,sta,tau,ura}                                                                                 |   0.833333
 Cap City Fine Diner ad Bar: Grandview           | Cap City Fine Diner and Bar: Grandview          | {ad,and,b#,bar,bar!,c#,cap,cap!,cit,cit!,d#,din,din!,dvi,f#,fin,fin!,g#,gra,gra!,iew,ine,ity,ndv,ner,ran,vie}                                                 | {a#,and,and!,b#,bar,bar!,c#,cap,cap!,cit,cit!,d#,din,din!,dvi,f#,fin,fin!,g#,gra,gra!,iew,ine,ity,ndv,ner,ran,vie}                                        |   0.928571
 Capitol Chophouse                               | Capigo Chophouse                                | {api,c#,cap,cap!,cho,cho!,hop,hou,ito,oph,ous,pho,pit,tol,use}                                                                                                | {api,c#,cap,cap!,cho,cho!,hop,hou,igo,oph,ous,pho,pig,use}                                                                                                |        0.8
 Cappettop's Italian Retaurabt                   | Cappetto's Italian Restaurant                   | {abt,ali,app,aur,c#,cap,cap!,eta,ett,i#,ian,ita,ita!,lia,pet,ppe,r#,rab,ret,ret!,s,tal,tau,top,tto,ura}                                                       | {ali,ant,app,aur,c#,cap,cap!,est,ett,i#,ian,ita,ita!,lia,pet,ppe,r#,ran,res,res!,s,sta,tal,tau,tto,ura}                                                   |   0.769231
 Captain Jpn's                                   | Captain Jon'sx                                  | {ain,apt,c#,cap,cap!,j#,jpn,jpn!,pta,s,tai}                                                                                                                   | {ain,apt,c#,cap,cap!,j#,jon,jon!,pta,sx,tai}                                                                                                              |   0.727273
 Cqrmelo' Restaurant                             | Carmelo's Restaurant                            | {ant,aur,c#,cqr,cqr!,elo,est,mel,qrm,r#,ran,res,res!,rme,sta,tau,ura}                                                                                         | {ant,arm,aur,c#,car,car!,elo,est,mel,r#,ran,res,res!,rme,s,sta,tau,ura}                                                                                   |   0.777778
 Carnevor                                        | Carnevor                                        | {arn,c#,car,car!,evo,nev,rne,vor}                                                                                                                             | {arn,c#,car,car!,evo,nev,rne,vor}                                                                                                                         |          1
 Clarion Hotel State Capital                     | Caruon Hotel Statew Capital                     | {api,ari,ate,c#,cap,cap!,cla,cla!,h#,hot,hot!,ion,ita,lar,ote,pit,rio,s#,sta,sta!,tal,tat,tel}                                                                | {api,aru,ate,c#,cap,cap!,car,car!,h#,hot,hot!,ita,ote,pit,ruo,s#,sta,sta!,tal,tat,tel,tew,uon}                                                            |    0.73913
 Casa Bonita                                     | Casa Bonita                                     | {asa,b#,bon,bon!,c#,cas,cas!,ita,nit,oni}                                                                                                                     | {asa,b#,bon,bon!,c#,cas,cas!,ita,nit,oni}                                                                                                                 |          1
 Casanova Griull                                 | Casanova Grill                                  | {ano,asa,c#,cas,cas!,g#,gri,gri!,iul,nov,ova,riu,san,ull}                                                                                                     | {ano,asa,c#,cas,cas!,g#,gri,gri!,ill,nov,ova,ril,san}                                                                                                     |   0.785714
 Casa Rip                                        | Casa Rio                                        | {asa,c#,cas,cas!,r#,rip,rip!}                                                                                                                                 | {asa,c#,cas,cas!,r#,rio,rio!}                                                                                                                             |   0.714286
 Casa-Di-Pizxza                                  | Casas-Di-Pizza                                  | {asa,c#,cas,cas!,di,izx,p#,piz,piz!,xza,zxz}                                                                                                                  | {asa,c#,cas,cas!,di,izz,p#,piz,piz!,sas,zza}                                                                                                              |   0.727273
 Cask 'n Cleaver                                 | Cask 'n Cleaver                                 | {ask,ave,c#,cas,cas!,cle,cle!,eav,lea,n,ver}                                                                                                                  | {ask,ave,c#,cas,cas!,cle,cle!,eav,lea,n,ver}                                                                                                              |          1
 Catfish Sam's                                   | Catfish Sam'x                                   | {atf,c#,cat,cat!,fis,ish,s,s#,sam,sam!,tfi}                                                                                                                   | {atf,c#,cat,cat!,fis,ish,s#,sam,sam!,tfi,x}                                                                                                               |   0.909091
 Caucus Club Restaurant                          | Caucus Club Resauramt                           | {ant,auc,aur,c#,cau,cau!,clu,clu!,cus,est,lub,r#,ran,res,res!,sta,tau,ucu,ura}                                                                                | {amt,auc,aur,c#,cau,cau!,clu,clu!,cus,esa,lub,r#,ram,res,res!,sau,ucu,ura}                                                                                |   0.736842
 Cazbar Turkish Rwstaurant                       | Cazbar Turkish Restaurat                        | {ant,aur,azb,bar,c#,caz,caz!,ish,kis,r#,ran,rki,rws,rws!,sta,t#,tau,tur,tur!,ura,urk,wst,zba}                                                                 | {aur,azb,bar,c#,caz,caz!,est,ish,kis,r#,rat,res,res!,rki,sta,t#,tau,tur,tur!,ura,urk,zba}                                                                 |   0.782609
 Canter's Fairfax Restaurant                     | Caznter's Fairfax Restaurant                    | {air,ant,aur,c#,can,can!,est,f#,fai,fai!,fax,irf,nte,r#,ran,res,res!,rfa,s,sta,tau,ter,ura}                                                                   | {air,ant,aur,azn,c#,caz,caz!,est,f#,fai,fai!,fax,irf,nte,r#,ran,res,res!,rfa,s,sta,tau,ter,ura,znt}                                                       |       0.84
 Celestial Restaurant                            | Celestial Restaurant                            | {ant,aur,c#,cel,cel!,ele,est,ial,les,r#,ran,res,res!,sta,sti,tau,tia,ura}                                                                                     | {ant,aur,c#,cel,cel!,ele,est,ial,les,r#,ran,res,res!,sta,sti,tau,tia,ura}                                                                                 |          1
 C'Era Una Volta Italian Restaurant - Alameda    | C'Era Una Volta Itazlian Restaurant - Alazmeda  | {a#,ala,ala!,ali,ame,ant,aur,c,e#,eda,era,era!,est,i#,ian,ita,ita!,lam,lia,lta,med,olt,r#,ran,res,res!,sta,tal,tau,u#,una,una!,ura,v#,vol,vol!}               | {a#,ala,ala!,ant,aur,azl,azm,c,e#,eda,era,era!,est,i#,ian,ita,ita!,laz,lia,lta,med,olt,r#,ran,res,res!,sta,tau,taz,u#,una,una!,ura,v#,vol,vol!,zli,zme}   |   0.842105
 Ceviche Tapas Bar & Restajrant                  | Ceviche Tapas Bar & Restaurant                  | {ajr,ant,apa,b#,bar,bar!,c#,cev,cev!,che,est,evi,ich,jra,pas,r#,ran,res,res!,sta,t#,taj,tap,tap!,vic}                                                         | {ant,apa,aur,b#,bar,bar!,c#,cev,cev!,che,est,evi,ich,pas,r#,ran,res,res!,sta,t#,tap,tap!,tau,ura,vic}                                                     |       0.88
 CHAAT BHAVAN                                    | CHAAT BHAVAN                                    | {aat,ava,b#,bha,bha!,c#,cha,cha!,haa,hav,van}                                                                                                                 | {aat,ava,b#,bha,bha!,c#,cha,cha!,haa,hav,van}                                                                                                             |          1
 Chambers Landing Bar & Griol                    | Chambers Landing Bar & Grill                    | {amb,and,b#,bar,bar!,ber,c#,cha,cha!,din,ers,g#,gri,gri!,ham,ing,iol,l#,lan,lan!,mbe,ndi,rio}                                                                 | {amb,and,b#,bar,bar!,ber,c#,cha,cha!,din,ers,g#,gri,gri!,ham,ill,ing,l#,lan,lan!,mbe,ndi,ril}                                                             |   0.913043
 Champps Americana                               | Chanp[ps Americana                              | {a#,ame,ame!,amp,ana,c#,can,cha,cha!,eri,ham,ica,mer,mpp,pps,ric}                                                                                             | {a#,ame,ame!,ana,anp,c#,can,cha,cha!,eri,han,ica,mer,ps,ric}                                                                                              |       0.75
 Chantill;y Restaurant                           | Chantilly Restaurant                            | {ant,aur,c#,cha,cha!,est,han,ill,nti,r#,ran,res,res!,sta,tau,til,ura,y}                                                                                       | {ant,aur,c#,cha,cha!,est,han,ill,lly,nti,r#,ran,res,res!,sta,tau,til,ura}                                                                                 |   0.944444
 Chappy's Restayrant                             | Chappy's Restaureant                            | {ant,app,ayr,c#,cha,cha!,est,hap,ppy,r#,ran,res,res!,s,sta,tay,yra}                                                                                           | {ant,app,aur,c#,cha,cha!,ean,est,hap,ppy,r#,rea,res,res!,s,sta,tau,ure}                                                                                   |   0.722222
 Charlewston                                     | Charleston                                      | {arl,c#,cha,cha!,ews,har,lew,rle,sto,ton,wst}                                                                                                                 | {arl,c#,cha,cha!,est,har,les,rle,sto,ton}                                                                                                                 |   0.727273
 Charleston's Restaurant - Steak House - Mesa    | Charleston's Restaurant - Steak House - Mesa    | {ant,arl,aur,c#,cha,cha!,eak,esa,est,h#,har,hou,hou!,les,m#,mes,mes!,ous,r#,ran,res,res!,rle,s,s#,sta,ste,ste!,sto,tau,tea,ton,ura,use}                       | {ant,arl,aur,c#,cha,cha!,eak,esa,est,h#,har,hou,hou!,les,m#,mes,mes!,ous,r#,ran,res,res!,rle,s,s#,sta,ste,ste!,sto,tau,tea,ton,ura,use}                   |          1
 Chart House - Jacksonville                      | Charr Housew - Jacksonville                     | {ack,art,c#,cha,cha!,cks,h#,har,hou,hou!,ill,j#,jac,jac!,kso,lle,nvi,onv,ous,son,use,vil}                                                                     | {ack,arr,c#,cha,cha!,cks,h#,har,hou,hou!,ill,j#,jac,jac!,kso,lle,nvi,onv,ous,sew,son,use,vil}                                                             |   0.913043
 Chart Hous - Boson                              | Chart House - Boston                            | {art,b#,bos,bos!,c#,cha,cha!,h#,har,hou,hou!,oso,ous,son}                                                                                                     | {art,b#,bos,bos!,c#,cha,cha!,h#,har,hou,hou!,ost,ous,sto,ton,use}                                                                                         |       0.75
 Chatreau of Spain                               | Chateau of Spain                                | {ain,atr,c#,cha,cha!,eau,hat,of,pai,rea,s#,spa,spa!,tre}                                                                                                      | {ain,ate,c#,cha,cha!,eau,hat,of,pai,s#,spa,spa!,tea}                                                                                                      |   0.785714
 Checkers                                        | Checkers                                        | {c#,che,che!,cke,eck,ers,hec,ker}                                                                                                                             | {c#,che,che!,cke,eck,ers,hec,ker}                                                                                                                         |          1
 Cheesecake Factory                              | Chedecakje Factory                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,akj,c#,cak,che,che!,cto,dec,eca,ede,f#,fac,fac!,hed,kje,ory,tor}                                                                                     |   0.705882
 Cheesecake Factory                              | Chedecakje Factory                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,akj,c#,cak,che,che!,cto,dec,eca,ede,f#,fac,fac!,hed,kje,ory,tor}                                                                                     |   0.705882
 Cheesecake Factory                              | Chedecakje Factory                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,akj,c#,cak,che,che!,cto,dec,eca,ede,f#,fac,fac!,hed,kje,ory,tor}                                                                                     |   0.705882
 Cheesecake Factory                              | Chedecakje Factory                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,akj,c#,cak,che,che!,cto,dec,eca,ede,f#,fac,fac!,hed,kje,ory,tor}                                                                                     |   0.705882
 Cheesecake Factory                              | Chedecakje Factory                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,akj,c#,cak,che,che!,cto,dec,eca,ede,f#,fac,fac!,hed,kje,ory,tor}                                                                                     |   0.705882
 Cheeseburger In Paradise                        | Cheedeburger In Paradis                         | {adi,ara,bur,c#,che,che!,dis,ebu,ees,ese,ger,hee,in,ise,p#,par,par!,rad,rge,seb,urg}                                                                          | {adi,ara,bur,c#,che,che!,deb,dis,ebu,ede,eed,ger,hee,in,p#,par,par!,rad,rge,urg}                                                                          |   0.809524
 Cheesecake Facort                               | Cheesecaked Factot                              | {aco,ake,c#,cak,che,che!,cor,eca,ees,ese,f#,fac,fac!,hee,ort,sec}                                                                                             | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.764706
 Cheesecake Factory                              | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecake Factory                              | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecake Factory                              | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecake Factory                              | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecake Factory                              | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ory,sec,tor}                                                                                         | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecake Factoy                               | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,sec,toy}                                                                                             | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.882353
 Cheesecakw Factolry                             | Cheesecaked Factot                              | {act,akw,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,lry,olr,sec,tol}                                                                                     | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.777778
 Chewesecake Factory                             | Cheesecaked Factot                              | {act,ake,c#,cak,che,che!,cto,eca,ese,ewe,f#,fac,fac!,hew,ory,sec,tor,wes}                                                                                     | {act,ake,c#,cak,che,che!,cto,eca,ees,ese,f#,fac,fac!,hee,ked,sec,tot}                                                                                     |   0.722222
 Cheesecake Facort                               | Cheesecake Facory                               | {aco,ake,c#,cak,che,che!,cor,eca,ees,ese,f#,fac,fac!,hee,ort,sec}                                                                                             | {aco,ake,c#,cak,che,che!,cor,eca,ees,ese,f#,fac,fac!,hee,ory,sec}                                                                                         |     0.9375
